Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0M3KKT0	A0A0M3KKT0	A0A0M3KKT0	A0A0M3KKT0					25809480:0114:LC
A0A0M3KKT0	P14099	A0A0M3KKT0	PDE2A					25809480:0114:LC
A0A3Q1M4W9	P31404	ATP6V1D	ATP6V1A					PDB_7KHR:0114:LC|32764564:0114:LC
A0A3Q1M4W9	P31408	ATP6V1D	ATP6V1B2					PDB_7KHR:0114:LC|32764564:0114:LC
A0A3Q1M4W9	P61420	ATP6V1D	ATP6V0D1					PDB_7KHR:0114:LC|32764564:0114:LC
A0A3Q1M4W9	Q28029	ATP6V1D	ATP6V1F					PDB_7KHR:0114:LC|32764564:0114:LC
A1L565	A1L565	CD1D	CD1D					23110152:0114:LC
A1L565	P01888	CD1D	B2M					23110152:0114:LC
A4IFT3	Q0V8G5	LY86	CD180					21857663:0096:LC|21857663:0114:LC|21857663:0071:LC
A5D791	A5D791	EIF2AK3	EIF2AK3					29386355:0114:LC
A5PJH9	A5PJH9	UPP1	UPP1					20364833:0114:LC
A5PJW8	G3MZY8	POLR2B	POLR2A					26789250:0020:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q1JQ91	POLR2B	POLR2D					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC
A5PJW8	Q32P73	POLR2B	POLR2I					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q32P78	POLR2B	POLR2L					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q32P79	POLR2B	POLR2J					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q32PE0	POLR2B	POLR2F					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q3T0Q3	POLR2B	POLR2C					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q3ZBC0	POLR2B	POLR2K					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A5PJW8	Q5E9B8	POLR2B	POLR2G					26789250:0020:LC|28892040:0114:LC|26789250:0071:LC|26789250:0114:LC
A6QLF9	E1BHJ5	BBS5	BBS9					31939736:0114:LC|32510327:0114:LC
A6QLF9	E1BN34	BBS5	BBS1					31939736:0114:LC|32510327:0114:LC
A6QLF9	F1N4X0	BBS5	TTC8					31939736:0114:LC|32510327:0114:LC
A7MB62	P61157	ACTR2	ACTR3					22623398:0114:LC|21676862:0114:LC|26323303:0114:LC|30322896:0114:LC|23893131:0114:LC|PDB_3UKU:0114:LC|PDB_3ULE:0114:LC|11721045:0114:LC|15505213:0114:LC|17499050:0114:LC|19648907:0114:LC
A7MB62	Q148J6	ACTR2	ARPC4					22623398:0114:LC|21676862:0114:LC|26323303:0114:LC|30322896:0114:LC|23893131:0114:LC|PDB_3UKU:0114:LC|PDB_3ULE:0114:LC|11721045:0114:LC|15505213:0114:LC|17499050:0114:LC|19648907:0114:LC
A7MB62	Q3SYX9	ACTR2	ARPC5					22623398:0114:LC|21676862:0114:LC|26323303:0114:LC|30322896:0114:LC|23893131:0114:LC|PDB_3UKU:0114:LC|PDB_3ULE:0114:LC|11721045:0114:LC|15505213:0114:LC|17499050:0114:LC|19648907:0114:LC
A7MB62	Q58CQ2	ACTR2	ARPC1B					22623398:0114:LC|21676862:0114:LC|26323303:0114:LC|30322896:0114:LC|23893131:0114:LC|18462674:0071:LC|PDB_3UKU:0114:LC|PDB_3ULE:0114:LC|11721045:0114:LC|19648907:0071:LC|15505213:0114:LC|18462674:0028:LC|17499050:0114:LC|18462674:0067:LC|19648907:0114:LC
B5B0D4	B5B0D4	B5B0D4	B5B0D4					29737841:0114:LC
E1B792	E1B792	CLCNKA	CLCNKA					28002411:0114:LC
E1B9K1	E1B9K1	E1B9K1	E1B9K1					25752573:0114:LC
E1BF86	E1BF86	BEST2	BEST2					32251414:0114:LC
E1BHJ5	E1BN34	BBS9	BBS1					31939736:0114:LC|32510327:0114:LC
E1BHJ5	F1MB52	BBS9	BBS7					31939736:0114:LC|32510327:0114:LC
E1BHJ5	F1N4X0	BBS9	TTC8					31939736:0114:LC|32510327:0114:LC
E1BHJ5	G3N2W1	BBS9	BBIP1					31939736:0114:LC|32510327:0114:LC
